datetime,계절,공휴일,근무일,날씨,온도,체감온도,습도,풍속
2011-01-01 0:00,1,0,0,1,9.84,14.395,81,0
2011-01-01 1:00,1,0,0,1,9.02,13.635,80,0
2011-01-01 2:00,1,0,0,1,9.02,13.635,80,0
2011-01-01 3:00,1,0,0,1,9.84,14.395,75,0
2011-01-01 4:00,1,0,0,1,9.84,14.395,75,0
2011-01-01 5:00,1,0,0,2,9.84,12.88,75,6.0032
2011-01-01 6:00,1,0,0,1,9.02,13.635,80,0
2011-01-01 7:00,1,0,0,1,8.2,12.88,86,0
2011-01-01 8:00,1,0,0,1,9.84,14.395,75,0
2011-01-01 9:00,1,0,0,1,13.12,17.425,76,0
2011-01-01 10:00,1,0,0,1,15.58,19.695,76,16.9979
2011-01-01 11:00,1,0,0,1,14.76,16.665,81,19.0012
2011-01-01 12:00,1,0,0,1,17.22,21.21,77,19.0012
2011-01-01 13:00,1,0,0,2,18.86,22.725,72,19.9995
2011-01-01 14:00,1,0,0,2,18.86,22.725,72,19.0012
2011-01-01 15:00,1,0,0,2,18.04,21.97,77,19.9995
2011-01-01 16:00,1,0,0,2,17.22,21.21,82,19.9995
2011-01-01 17:00,1,0,0,2,18.04,21.97,82,19.0012
2011-01-01 18:00,1,0,0,3,17.22,21.21,88,16.9979
2011-01-01 19:00,1,0,0,3,17.22,21.21,88,16.9979
2011-01-01 20:00,1,0,0,2,16.4,20.455,87,16.9979
2011-01-01 21:00,1,0,0,2,16.4,20.455,87,12.998
2011-01-01 22:00,1,0,0,2,16.4,20.455,94,15.0013
2011-01-01 23:00,1,0,0,2,18.86,22.725,88,19.9995
2011-01-02 0:00,1,0,0,2,18.86,22.725,88,19.9995
2011-01-02 1:00,1,0,0,2,18.04,21.97,94,16.9979
2011-01-02 2:00,1,0,0,2,17.22,21.21,100,19.0012
2011-01-02 3:00,1,0,0,2,18.86,22.725,94,12.998
2011-01-02 4:00,1,0,0,2,18.86,22.725,94,12.998
2011-01-02 6:00,1,0,0,3,17.22,21.21,77,19.9995
2011-01-02 7:00,1,0,0,2,16.4,20.455,76,12.998
2011-01-02 8:00,1,0,0,3,16.4,20.455,71,15.0013
2011-01-02 9:00,1,0,0,2,15.58,19.695,76,15.0013
2011-01-02 10:00,1,0,0,2,14.76,17.425,81,15.0013
2011-01-02 11:00,1,0,0,2,14.76,16.665,71,16.9979
2011-01-02 12:00,1,0,0,2,14.76,16.665,66,19.9995
2011-01-02 13:00,1,0,0,2,14.76,17.425,66,8.9981
2011-01-02 14:00,1,0,0,3,14.76,17.425,76,12.998
2011-01-02 15:00,1,0,0,3,13.94,16.665,81,11.0014
2011-01-02 16:00,1,0,0,3,13.94,16.665,71,11.0014
2011-01-02 17:00,1,0,0,1,13.94,16.665,57,12.998
2011-01-02 18:00,1,0,0,2,14.76,16.665,46,22.0028
2011-01-02 19:00,1,0,0,1,13.12,14.395,42,30.0026
2011-01-02 20:00,1,0,0,1,12.3,13.635,39,23.9994
2011-01-02 21:00,1,0,0,1,10.66,11.365,44,22.0028
2011-01-02 22:00,1,0,0,1,9.84,10.605,44,19.9995
2011-01-02 23:00,1,0,0,1,9.02,11.365,47,11.0014
2011-01-03 0:00,1,0,1,1,9.02,9.85,44,23.9994
2011-01-03 1:00,1,0,1,1,8.2,8.335,44,27.9993
2011-01-03 4:00,1,0,1,1,6.56,6.82,47,26.0027
2011-01-03 5:00,1,0,1,1,6.56,6.82,47,19.0012
2011-01-03 6:00,1,0,1,1,5.74,5.305,50,26.0027
2011-01-03 7:00,1,0,1,1,5.74,6.82,50,12.998
2011-01-03 8:00,1,0,1,1,5.74,6.06,50,19.0012
2011-01-03 9:00,1,0,1,1,6.56,6.82,43,26.0027
2011-01-03 10:00,1,0,1,1,7.38,8.335,43,16.9979
2011-01-03 11:00,1,0,1,1,8.2,9.09,40,22.0028
2011-01-03 12:00,1,0,1,1,9.02,10.605,35,19.9995
2011-01-03 13:00,1,0,1,1,9.84,10.605,35,19.0012
2011-01-03 14:00,1,0,1,1,10.66,12.12,30,19.0012
2011-01-03 15:00,1,0,1,1,10.66,12.12,30,16.9979
2011-01-03 16:00,1,0,1,1,10.66,12.12,30,16.9979
2011-01-03 17:00,1,0,1,1,9.84,11.365,30,15.0013
2011-01-03 18:00,1,0,1,1,9.84,12.88,32,7.0015
2011-01-03 19:00,1,0,1,1,8.2,12.88,47,0
2011-01-03 20:00,1,0,1,1,8.2,11.365,47,7.0015
2011-01-03 21:00,1,0,1,1,7.38,9.85,64,8.9981
2011-01-03 22:00,1,0,1,1,5.74,7.575,69,8.9981
2011-01-03 23:00,1,0,1,1,7.38,10.605,55,7.0015
2011-01-04 0:00,1,0,1,1,6.56,9.09,55,7.0015
