cust_id,총구매액,최대구매액,환불금액,주구매상품,주구매지점,내점일수,내점당구매건수,주말방문비율,구매주기
0,68282840,11264000,6860000.0,기타,강남점,19,3.8947368421052633,0.527027027027027,17
1,2136000,2136000,300000.0,스포츠,잠실점,2,1.5,0.0,1
2,3197000,1639000,,남성 캐주얼,관악점,2,2.0,0.0,1
3,16077620,4935000,,기타,광주점,18,2.4444444444444446,0.3181818181818182,16
4,29050000,24000000,,보석,본  점,2,1.5,0.0,85
5,11379000,9552000,462000.0,디자이너,일산점,3,1.6666666666666667,0.2,42
6,10056000,7612000,4582000.0,시티웨어,강남점,5,2.4,0.3333333333333333,42
7,514570080,27104000,29524000.0,명품,본  점,63,2.634920634920635,0.22289156626506024,5
8,688243360,173088000,,기타,본  점,18,5.944444444444445,0.411214953271028,15
9,26640850,13728000,,농산물,대전점,1,12.0,0.0,0
10,245110760,67275000,22484000.0,디자이너,부산본점,25,2.12,0.22641509433962265,13
11,24467500,10575000,,화장품,본  점,3,2.0,0.8333333333333334,89
12,2895000,2475000,,남성 캐주얼,분당점,2,1.0,0.0,16
13,103217000,14616000,13173720.0,시티웨어,분당점,27,2.1481481481481484,0.10344827586206896,10
14,123565660,22500000,7833000.0,농산물,본  점,84,3.7142857142857144,0.32051282051282054,4
15,802390550,123488000,87054200.0,기타,본  점,152,3.585526315789474,0.1779816513761468,2
16,359589000,73684240,,골프,본  점,26,2.230769230769231,0.3620689655172414,13
17,114421760,28560000,59424000.0,화장품,본  점,23,2.260869565217391,0.23076923076923078,14
18,43857600,24000000,,구두,본  점,2,3.5,0.7142857142857143,10
19,3074660,500000,,농산물,일산점,2,9.5,0.0,11
20,52855460,9711000,,기타,잠실점,11,3.272727272727273,0.027777777777777776,26
21,208520880,20280000,1524900.0,농산물,부산본점,278,5.471223021582734,0.26627218934911245,1
22,128221640,17232000,18596800.0,농산물,잠실점,65,3.4923076923076923,0.20704845814977973,5
23,450640,165000,,농산물,분당점,1,6.0,0.0,0
24,52498250,12201000,3146000.0,가공식품,영등포점,15,2.6666666666666665,0.2,9
25,550000,550000,,스포츠,본  점,1,1.0,0.0,0
26,301903130,53050000,21241000.0,기타,본  점,53,2.792452830188679,0.49324324324324326,6
27,217054230,35650000,4440000.0,기타,분당점,82,10.25609756097561,0.4161712247324614,4
28,139213500,19032000,,기타,영등포점,23,2.4782608695652173,0.7368421052631579,15
29,2156050,630000,,가공식품,잠실점,3,3.6666666666666665,0.0,28
30,200934660,12835200,,시티웨어,관악점,27,2.7777777777777777,0.26666666666666666,12
31,355200,259200,,가공식품,분당점,2,2.0,0.75,48
32,480431110,46440000,4773700.0,기타,미아점,108,4.796296296296297,0.37065637065637064,3
33,38068520,7935000,13930000.0,기타,강남점,15,2.8666666666666667,0.046511627906976744,4
34,19296840,15900000,15900000.0,수산품,잠실점,8,1.75,0.14285714285714285,33
35,190634260,20284000,82168800.0,기타,일산점,122,6.516393442622951,0.27672955974842767,2
36,16328000,15130000,,시티웨어,분당점,2,2.0,1.0,24
37,105878600,28900000,22960000.0,기타,대전점,13,2.8461538461538463,0.10810810810810811,24
38,9850000,5750000,,화장품,본  점,3,1.0,0.0,40
39,189885800,29673000,20723000.0,디자이너,부산본점,31,1.5483870967741935,0.2708333333333333,11
40,680977340,43240000,,화장품,본  점,41,3.341463414634146,0.656934306569343,8
41,10512000,9750000,,수산품,본  점,3,1.6666666666666667,0.2,77
42,58757280,8668800,,디자이너,강남점,14,2.4285714285714284,0.5882352941176471,21
43,26561200,11875000,,가공식품,분당점,7,2.2857142857142856,0.1875,32
44,88142300,27764000,250000.0,아동,강남점,20,2.55,0.35294117647058826,16
45,6895950,2050000,,기타,본  점,21,2.7142857142857144,0.17543859649122806,14
46,3677000,3476000,,차/커피,본  점,2,2.5,0.0,18
47,7273000,2205000,,가공식품,강남점,5,4.2,0.047619047619047616,35
48,115107880,12500000,12085000.0,기타,본  점,42,4.714285714285714,0.3787878787878788,8
49,12810920,870870,,농산물,관악점,18,6.444444444444445,0.3706896551724138,13
50,35338450,8125000,,캐주얼,광주점,12,2.5833333333333335,0.2903225806451613,30
51,13461000,9384000,,스포츠,잠실점,3,1.0,0.3333333333333333,76
52,13926390,4050000,,가공식품,본  점,25,2.8,0.5857142857142857,12
53,4225000,4225000,,화장품,본  점,1,1.0,0.0,0
54,157292300,37113600,8989500.0,농산물,청량리점,96,3.6666666666666665,0.30113636363636365,3
55,125864310,54000000,,가공식품,안양점,23,2.9130434782608696,0.2835820895522388,15
56,133636010,16000000,,기타,본  점,19,4.368421052631579,0.1686746987951807,16
57,438046180,48489000,28371000.0,시티웨어,잠실점,38,1.3157894736842106,0.44,8
58,2023500,329000,,가공식품,본  점,7,1.1428571428571428,0.0,38
59,99215700,34000000,64691600.0,가공식품,잠실점,17,4.294117647058823,0.3561643835616438,19
60,3151200,2544000,,차/커피,잠실점,2,2.5,0.0,85
61,1062500,2125000,1062500.0,섬유잡화,영등포점,2,1.0,0.5,1
62,2178000,2178000,,명품,본  점,1,1.0,0.0,0
63,391890,187000,,농산물,본  점,1,7.0,0.0,0
